Name,Publishers,Developers,Description,Price,Release Date,Tags
Deadside,Bad Pixel;tinyBuild,Bad Pixel,"An Open World Survival Shooter blending hardcore PVP and PVE action. Secure precious loot in safe zones or build your own fortress in the wild. With intense gunfights, stunning visuals, and performance smooth enough for any system, the challenge awaits!",$24.99,"Dec 5, 2024","Survival,FPS,Open World Survival Craft,Post-apocalyptic,PvP,Open World,Multiplayer,Third-Person Shooter,Base Building,Shooter,First-Person,Co-op,Action,Realistic,Crafting,Adventure,Massively Multiplayer,Third Person,Online Co-Op,Looter Shooter"
Tiny Glade,Pounce Light,Pounce Light,"Tiny Glade is a small diorama builder where you doodle whimsical castles, cozy cottages & romantic ruins. Explore gridless building chemistry as the game adorns your glades with procedural detail. No management, combat or goals: just kick back and turn forgotten meadows into lovable dioramas.",$14.99,"Sep 23, 2024","Design & Illustration,Building,Relaxing,Sandbox,Cozy,Casual,Medieval,Procedural Generation,Experimental,Indie,Cute,Family Friendly,Nature,Top-Down,First-Person,Simulation,Colorful,Singleplayer,Stylized,Atmospheric"
Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,"A strategy/action RPG. Create a character, engage in diplomacy, craft, trade and conquer new lands in a vast medieval sandbox. Raise armies to lead into battle and command and fight alongside your troops in massive real-time battles using a deep but intuitive skill-based combat system.",$49.99,"Oct 25, 2022","Medieval,Strategy,Open World,RPG,War,Sandbox,Multiplayer,Singleplayer,Action,Character Customization,Simulation,Moddable,Adventure,Horses,Realistic,Third Person,Historical,First-Person,Great Soundtrack,Early Access"
The Forest,Endnight Games Ltd,Endnight Games Ltd,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.",$19.99,"Apr 30, 2018","Open World Survival Craft,Survival,Open World,Horror,Crafting,Adventure,Building,Survival Horror,First-Person,Action,Exploration,Sandbox,Singleplayer,Atmospheric,Simulation,Gore,Realistic,Indie,Zombies,Early Access"
FlyKnight,Wabbaboy,Wabbaboy,"Explore, fight, loot and fish! Solo or in co-op mode in this Old School First Person Dungeon Crawler. Earn your knighthood as you oppose the evil witch Lunamoth and stop her curse which prevents everyone from growing wings.",$5.99,"Jan 31, 2025","Dungeon Crawler,First-Person,Souls-like,Online Co-Op,Old School,Fishing,Action RPG,Fantasy,Inventory Management,Exploration,Action,Adventure,Combat,Singleplayer,RPG,Loot,Co-op,Multiplayer,3D,Retro"
Beat Saber,Beat Games,Beat Games,"Beat Saber is a VR rhythm game where you slash the beats of adrenaline-pumping music as they fly towards you, surrounded by a futuristic world.",$29.99,"May 21, 2019","VR,Rhythm,Music,Moddable,Fast-Paced,Singleplayer,First-Person,Difficult,Multiplayer,Indie,Swordplay,Action,Sports,Great Soundtrack,Futuristic,Casual,Music-Based Procedural Generation,PvP,Games Workshop,Early Access"
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","""Atelier Yumia"" is a story about “memory”. Explore the field to gather materials and synthesis items. The items you create can be key to advancing the story and can also be used in battles and exploration. Additionally, you can create your own base with “Building"" in the field.",$69.99,"Mar 20, 2025","Exploration,Collectathon,JRPG,Female Protagonist,Hack and Slash,Party-Based RPG,Action RPG,Action,RPG,Cute,Anime,Open World,Third Person,Story Rich,Adventure,Crafting,Fantasy,Atmospheric,Singleplayer,Great Soundtrack"
The Lord of the Rings Online™,Daybreak Game Company LLC,Standing Stone Games,Join the world’s greatest fellowship of players in the award-winning online re-creation of J. R. R. Tolkien’s legendary Middle-earth.,Play for Free!,"Jun 6, 2012","$0.00,MMORPG,Massively Multiplayer,Open World,Fantasy,RPG,Adventure,Multiplayer,Character Customization,Based On A Novel,Exploration,Action,Story Rich,Online Co-Op,Co-op,Survival,Third Person,Singleplayer,PvP,Dark Fantasy"
Half-Life: Alyx,Valve,Valve,"Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity’s only chance for survival.",$59.99,"Mar 23, 2020","VR,FPS,Horror,Story Rich,Female Protagonist,Shooter,Singleplayer,First-Person,Action,Sci-fi,Atmospheric,Zombies,Beautiful,Aliens,Adventure,Futuristic,Psychological Horror,Memes,Great Soundtrack,Gore"
Chained Together,Anegar Games,Anegar Games,"From the depths of hell, climb chained to your friends through diverse worlds. Solo or co-op, try to reach the summit and discover what awaits you there...",$4.99,"Jun 19, 2024","Co-op,Adventure,Casual,Platformer,Puzzle Platformer,Simulation,Action-Adventure,3D Platformer,Third Person,Exploration,Funny,Online Co-Op,Multiplayer,Mystery,Post-apocalyptic,Emotional,Physics,Surreal,Controller,Choices Matter"
Aimlabs,"State Space Labs, Inc.","State Space Labs, Inc.","Aimlabs is the aim trainer of choice for over 40 Million players, from beginners to esports pros. Our unique aim analysis optimizes your gameplay, targets your weaknesses & builds key skills for any FPS game! Time to warm up with our unlimited scenarios & rank up in-game!",Free,"Jun 16, 2023","$0.00,FPS,Shooter,Simulation,Multiplayer,Singleplayer,First-Person,Action,eSports,Competitive,Indie,Sniper,Casual,Fast-Paced,Score Attack,Difficult,Tactical,Adventure,Early Access,Third-Person Shooter"
Elite Dangerous,Frontier Developments,Frontier Developments,Take control of your own starship in a cutthroat galaxy. Elite Dangerous is the definitive massively multiplayer space epic.,$19.99,"Apr 2, 2015","Space Sim,Space,Open World,Exploration,Sci-fi,Simulation,Massively Multiplayer,Multiplayer,VR,First-Person,Action,Adventure,Sandbox,Online Co-Op,Singleplayer,Trading,RPG,Difficult,Strategy,TrackIR"
SCP: 5K,Affray Interactive,Affray Interactive,SCP: 5K is a co-op or singleplayer tactical horror FPS project that puts players in the midst of a conspiracy where the SCP Foundation has turned on humanity. Enjoy Early Access as we continue to work towards a completed full release of the project!,$19.99,"Feb 22, 2022","Early Access,Strategy,Co-op,Horror,Shooter,Tactical,Co-op Campaign,FPS,Multiplayer,Immersive,Gun Customization,First-Person,Singleplayer,Realistic,Military,Combat,Conspiracy,Lore-Rich,Story Rich,Action"
Psycho Patrol R,Consumer Softproducts,Consumer Softproducts,FPS/mecha hybrid europolice sim with emphasis on interacting with NPCs and different gameplay systems.,$39.99,"Mar 24, 2025","Early Access,FPS,Immersive Sim,Mechs,Capitalism,Stealth,Crime,Souls-like,Tactical,Shooter,Stylized,Nonlinear,Character Customization,First-Person,3D,Noir,RPG,Open World,Action,Simulation"
Foxhole,Siege Camp,Siege Camp,"Foxhole is a massively multiplayer game where thousands of players shape the outcome of a persistent online war. Every individual soldier is a player that contributes to the war effort through logistics, base building, reconnaissance, combat, and more.",$29.99,"Sep 28, 2022","Massively Multiplayer,Wargame,Military,Base Building,Open World,World War II,Sandbox,War,Top-Down,Tactical,PvP,Strategy,Top-Down Shooter,Multiplayer,Team-Based,Co-op,Crafting,Shooter,Action,RPG"
Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,Fishing Planet® is a free-to-play and highly realistic first-person online multiplayer fishing simulator. Developed by avid fishing enthusiasts to bring you the full thrill of actual angling on your PC.,$0.00,"Aug 11, 2015","Fishing,$0.00,Multiplayer,Simulation,Sports,Relaxing,Realistic,Massively Multiplayer,Co-op,First-Person,Open World,Singleplayer,Online Co-Op,Family Friendly,Adventure,Casual,VR,Action,MMORPG,Farming Sim"
Nomad Idle,The Fox Knocks,The Fox Knocks,"Face waves of enemies automatically and create builds by distributing stat points, leveling up equipment, choosing passive skills, summons and more. An idle game about killing hordes of enemies, becoming stronger, and exploring an unfolding storyline. A spin-off of Nomad Survival.",$9.99,"Apr 4, 2025","Idler,Clicker,Class-Based,Roguelite,Crafting,Roguelike,Casual,Auto Battler,Character Customization,2D,Colorful,Cute,Pixel Graphics,Top-Down,Automation,Fantasy,Magic,Survival,Combat,PvE"
World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,"Tanks, not war: jump into a free-to-play MMO action shooter with over 400 tanks. Enjoy stunning graphics and intuitive touch controls. Engage in 7vs7 battles, strategize with your team to conquer diverse maps. Customize tanks, unlock upgrades, and dive into adrenaline-pumping action on mobile and PC",$0.00,"Nov 9, 2016","Tanks,$0.00,Shooter,Action,FPS,Strategy,Multiplayer,Massively Multiplayer,PvP,World War II,Real Time Tactics,Team-Based,War,Online Co-Op,Competitive,Military,Singleplayer,Realistic,3D Platformer,Vehicular Combat"
Pathfinder: Wrath of the Righteous - Enhanced Edition,META Publishing;Owlcat Games,Owlcat Games,"Embark on a journey to a realm overrun by demons in a new epic RPG from the creators of the critically acclaimed Pathfinder: Kingmaker. Explore the nature of good and evil, learn the true cost of power, and rise as a Mythic Hero capable of deeds beyond mortal expectations.",$19.99,"Sep 2, 2021","Adventure,Turn-Based Combat,Singleplayer,Romance,Isometric,Strategy,Tactical,Action,Tactical RPG,Female Protagonist,Party-Based RPG,Turn-Based Strategy,Class-Based,Magic,RPG,Fantasy,Story Rich,Character Customization,Choices Matter,CRPG"
EVERSPACE™ 2,ROCKFISH Games,ROCKFISH Games,"EVERSPACE 2 is a fast-paced single-player spaceship shooter with exploration in space and on planets, tons of loot, RPG elements, mining, and crafting. Experience an exciting sci-fi story set in a vivid, handcrafted open world full of secrets, puzzles, and perils.",$49.99,"Apr 6, 2023","Shooter,Space,Loot,Exploration,Looter Shooter,Open World,Action RPG,Action-Adventure,Story Rich,Adventure,PvE,Action,Combat,Simulation,Flight,RPG,Singleplayer,Third-Person Shooter,Third Person,Sci-fi"
Oxygen Not Included,Klei Entertainment,Klei Entertainment,"Oxygen Not Included is a space-colony simulation game. Deep inside an alien space rock your industrious crew will need to master science, overcome strange new lifeforms, and harness incredible space tech to survive, and possibly, thrive.",$24.99,"Jul 30, 2019","Colony Sim,Base Building,Survival,Resource Management,Building,Singleplayer,Management,2D,Simulation,Sandbox,Strategy,Space,Indie,Sci-fi,Difficult,Exploration,Open World,Multiplayer,Adventure,Space Sim"
Blade and Sorcery,WarpFrog,WarpFrog,"Blade & Sorcery is a built-for-VR medieval fantasy with full physics driven melee, ranged and magic combat. Become a powerful warrior, ranger or sorcerer and devastate your enemies.",$29.99,"Jun 17, 2024","VR,Swordplay,Moddable,Gore,Sandbox,Magic,Action,Violent,Physics,Medieval,Simulation,Fighting,First-Person,Fantasy,Singleplayer,Adventure,RPG,Indie,Early Access,Games Workshop"
Stray,Annapurna Interactive,BlueTwelve Studio,"Lost, alone and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find their way home.",$29.99,"Jul 19, 2022","Cats,Adventure,Atmospheric,Cyberpunk,Singleplayer,Cute,Exploration,Robots,Beautiful,Puzzle,Third Person,Horror,Sci-fi,Indie,Dystopian,Open World,Mystery,Action,Colorful,Stealth"
Crab Champions,Noisestorm,Noisestorm,Claw your way across exotic islands combining fluid movement with fast paced combat to become a Crab Champion in this third person roguelike shooter.,$9.99,"Apr 1, 2023","Early Access,Action Roguelike,Soundtrack,Looter Shooter,Arcade,Multiplayer,Roguelike,Third-Person Shooter,3D,Co-op,Bullet Hell,Casual,Shooter,Action,Platformer,PvE,Perma Death,Choices Matter,Memes,Relaxing"
House Flipper,Frozen District;PlayWay S.A.,Empyrean,"House Flipper is a unique chance to become a one-man renovation crew. Buy, repair and remodel devastated houses. Give them a second life and sell them at a profit!",$24.99,"May 17, 2018","Simulation,Design & Illustration,Singleplayer,Building,Relaxing,Sandbox,Casual,Education,Immersive Sim,First-Person,Management,Multiplayer,Economy,Family Friendly,Base Building,3D,Replay Value,Realistic,Indie,Moddable"
Grocery Store Simulator,EXPERIMENT ONE,EXPERIMENT ONE,"Run your own grocery store. Scan items, hire employees, place and stock shelves, set prices, order products, manage your warehouse, and customize your store. Play solo or team up with friends in a 4 player co-op mode to expand your business in this first-person game.",$14.99,"Nov 21, 2024","Simulation,Online Co-Op,Economy,Management,Casual,Multiplayer,Life Sim,Co-op,Sandbox,Immersive Sim,First-Person,3D,Realistic,Family Friendly,Relaxing,Inventory Management,Resource Management,Trading,Singleplayer,Indie"
Six Days in Fallujah,Victura,Highwire Games,NEW! Play solo with an AI fireteam or co-op online. Six Days in Fallujah is an intensely realistic first-person tactical shooter based on true stories from one of this century’s toughest urban battles.,$39.99,"Jun 22, 2023","Early Access,Tactical,FPS,Realistic,Military,Singleplayer,Co-op,Survival Horror,War,Multiplayer,Shooter,Stealth,Team-Based,Simulation,Online Co-Op,Horror,First-Person,Wargame,Historical,PvE"
Summoners War,Com2uS,Com2uS,"A global hit RPG that captured the Summoners all around the world! Jump into the Sky Arena, a world under battle over the vital resource: Mana Crystals. Design your own deck and strategy using 1,000 Monsters to claim victory. Go on an epic adventure with your Monsters!",$0.00,"Jan 7, 2024","$0.00,RPG,Strategy,Turn-Based Strategy,Strategy RPG,RTS,Tactical RPG,Turn-Based Tactics,PvP,Real Time Tactics,PvE,Tutorial,Turn-Based Combat,Lore-Rich,Fantasy,Anime,Colorful,Multiplayer,Cinematic,Party-Based RPG"
Roman Triumph: Survival City Builder,Forklift Interactive,Coreffect Interactive,"At the northern fringes of the empire, a new Roman city is born! Manage and grow your city, please the gods, and survive against barbarians and mythological threats to achieve Roman Triumph!",$24.99,"Apr 3, 2025","Early Access,Open World,City Builder,Survival,Strategy,Rome,Base Building,Colony Sim,Management,Building,Resource Management,Simulation,Medieval,Combat,Sandbox,Economy,Real Time Tactics,RTS,3D,Singleplayer"
WARRIORS: Abyss,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Through victory and defeat, traverse the merciless trials of hell.",$24.99,"Feb 12, 2025","Action,Action Roguelike,Musou,Hack and Slash,Action RPG,Roguelite,RPG,Historical,Roguelike,Martial Arts,Dark Fantasy,Top-Down,3D,Singleplayer,Third Person"
Golf With Your Friends,Team17,Blacklight Interactive;Team17,"Why have friends if not to play Golf... With Your Friends! Nothing is out of bounds as you take on courses filled with fast paced, exciting, simultaneous mini golf for up to 12 players!",$14.99,"May 19, 2020","Multiplayer,Casual,Mini Golf,Sports,Golf,Indie,Funny,Family Friendly,Co-op,Singleplayer,Early Access,Physics,Simulation,Strategy,Great Soundtrack,Local Multiplayer,Difficult,Memes,Massively Multiplayer,Online Co-Op"
Albion Online,Sandbox Interactive GmbH,Sandbox Interactive GmbH,"Albion Online is a fantasy sandbox MMORPG featuring a player-driven economy, classless combat system, and intense PvP battles. Explore a vast open world full of danger and opportunity. Grow your wealth, forge alliances, and leave your mark on the world of Albion.",$0.00,"Jul 17, 2017","$0.00,MMORPG,Open World,Massively Multiplayer,Sandbox,RPG,Multiplayer,Crafting,Survival,PvP,Loot,PvE,Economy,Medieval,Co-op,Fantasy,Strategy,Action,Singleplayer,Difficult"
Slay the Princess — The Pristine Cut,Black Tabby Games;Serenity Forge,Black Tabby Games,You're here to slay the princess. Don't believe her lies.,$17.99,"Oct 23, 2023","Visual Novel,Choices Matter,Psychological Horror,Horror,Choose Your Own Adventure,CRPG,Story Rich,Lore-Rich,Simulation,Point & Click,First-Person,Hand-drawn,Romance,Interactive Fiction,Dating Sim,Singleplayer,Adventure,Comic Book,RPG,Dark Humor"
The Sims™ 3,Electronic Arts,The Sims Studio;Maxis,The Sims 3: Create the perfect world with full customization at your fingertips. Refine personalities and help fulfill destinies.,$19.99,"Jun 2, 2009","Life Sim,Simulation,Character Customization,Building,Sandbox,Singleplayer,Casual,Funny,Moddable,Romance,RPG,Family Friendly,Comedy,Adventure,Replay Value,Multiplayer,Nudity,Great Soundtrack,Strategy,Action"
Wizardry Variants Daphne,"Drecom Co., Ltd.","Drecom Co., Ltd.","3D Dungeon RPG The portal of despair opens again. The labyrinth calls you to destruction. Revel in the endless dangers, relish the risk, devour the rewards. Savor the risk.",$0.00,"Mar 6, 2025","RPG,Dungeon Crawler,Party-Based RPG,3D,Exploration,Dark,Roguelike,Retro,CRPG,First-Person,Character Customization,Dark Fantasy,Singleplayer,1980s,Realistic,Underground,Fantasy,Medieval,Magic,PvE"
Farming Simulator 22,Giants Software,Giants Software,"Create your farm and let the good times grow! Harvest crops, tend to animals, manage productions, and take on seasonal challenges.",$29.99,"Nov 22, 2021","Simulation,Farming Sim,Co-op,Multiplayer,Agriculture,Moddable,Management,Sandbox,3D,First-Person,Economy,Open World,Online Co-Op,Family Friendly,Immersive Sim,Character Customization,Nature,Horses,Third Person,America"
Avatar: Frontiers of Pandora™,Ubisoft,Massive Entertainment – A Ubisoft Studio;Ubisoft Montpellier;Ubisoft Shanghai;Ubisoft Toronto;Ubisoft Düsseldorf;Ubisoft Reflections,"Avatar: Frontiers of Pandora™ is a first-person, action-adventure game set in the Western Frontier. Reconnect with your lost heritage and discover what it truly means to be Na'vi as you join other clans to protect Pandora.",$69.99,"Jun 17, 2024","Action,Adventure,Open World,Online Co-Op,Multiplayer,First-Person,Exploration,Shooter,Singleplayer,Sci-fi,Character Customization,Atmospheric,3D,Story Rich,Immersive Sim,Female Protagonist,RPG,Co-op,Beautiful,LGBTQ+"
Look Outside,Devolver Digital,Francis Coulombe,"Look Outside is a survival horror RPG set in a single apartment building. A mysterious event turns anyone who looks out the window into grotesque monsters, leaving the world in absolute chaos. Scavenge the building to seek food, supplies, and weapons while encountering strange characters.",$9.99,"Mar 21, 2025","RPG,Adventure,Survival Horror,Horror,Pixel Graphics,Atmospheric,Exploration,2D,Dark,Isometric,Gore,Demons,Turn-Based Combat,Violent,Mystery,Old School,Combat,Singleplayer,Lovecraftian,RPGMaker"
ASKA,Thunderful Publishing,Sand Sailor Studio,Lay claim to unspoiled lands and pave the way for a fierce Viking tribe. Craft the ultimate settlement solo or together with up to x3 friends. Trust in the Gods and the power of the Eye of Odin and summon intelligent NPC villagers to provide camaraderie and relief from the toils of survival.,$24.99,"Jun 20, 2024","Early Access,Online Co-Op,Multiplayer,Crafting,Co-op,Singleplayer,Simulation,Open World Survival Craft,Building,Survival,Base Building,Colony Sim,Sandbox,Character Customization,Exploration,Action RPG,Dark Fantasy,Resource Management,Action-Adventure,Adventure"
That's not my Neighbor,Nachosama Games,Nachosama Games,"It's 1955, and for unknown reasons, doppelgangers are more common than usual. Therefore, the Department of Doppelganger Detection (D.D.D.) has taken action. You are the doorman of an apartment complex, and you must decide whether to let in those who claim to be your neighbors.",$2.99,"Mar 11, 2025","Adventure,Casual,Point & Click,Indie,Simulation,Arcade,2D,Clicker,First-Person,Multiple Endings,Thriller,Horror,Choices Matter,Singleplayer,Character Customization,Cartoony,Psychological Horror"
MY HERO ULTRA RUMBLE,Bandai Namco Entertainment,Byking Inc.,"Pick your favorite character, team up and fight to be the last ones standing in the new 24-player Battle Royale free to play game ""MY HERO ULTRA RUMBLE""!",$0.00,"Sep 28, 2023","Anime,$0.00,Battle Royale,Multiplayer,PvP,3D Fighter,Team-Based,Action,3D,Online Co-Op,Superhero,Third Person,Casual,Combat,Shooter,eSports,Third-Person Shooter,Co-op,Stylized,Sexual Content"
Knock on the Coffin Lid,RedBoon,RedBoon,"Investigate your own death, find ways to break free from a time loop, choose a hero who will ascend to the throne and rule the Northern gate! The fates of whole nations of the land of Midian depend on your choices.",$24.99,"Aug 8, 2024","Fantasy,Dark Fantasy,Roguelike Deckbuilder,Card Game,Card Battler,Roguelike,Deckbuilding,Turn-Based,Strategy,Singleplayer,Roguelite,Replay Value,Indie,Difficult,Dungeon Crawler,RPG,Mouse only,2D,Story Rich,Casual"
WEBFISHING,lamedeveloper,lamedeveloper,WEBFISHING a multiplayer chatroom-focused fishing game! Relax and fish (on the web!),$4.99,"Oct 11, 2024","Fishing,Multiplayer,Casual,Cute,Character Customization,Creature Collector,Psychological Horror,Indie,Online Co-Op,LGBTQ+,3D,Collectathon,Stylized,Cartoon,Colorful,Third Person,Singleplayer,Co-op,Nonlinear,Sandbox"
IXION,Kasedo Games,Bulwark Studios,"IXION is an unrelenting, city-building odyssey across the stars. As Administrator of the Tiqqun, DOLOS’ prototype space station, you are tasked with balancing preservation and exploration as you manage infrastructure, resources and crew. Can you keep the flame of humanity alight in the cold dark?",$34.99,"Dec 7, 2022","Space,City Builder,Strategy,Survival,Resource Management,Colony Sim,Base Building,Building,Simulation,Exploration,Choices Matter,Atmospheric,Economy,Singleplayer,Dark,Management,RTS,Post-apocalyptic,Difficult,Indie"
Portal 2,Valve,Valve,"The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!",$9.99,"Apr 19, 2011","Platformer,Puzzle,First-Person,Dark Humor,Story Rich,Puzzle Platformer,Funny,Female Protagonist,3D Platformer,Action-Adventure,Action,FPS,Co-op,Physics,Sci-fi,Level Editor,Science,Comedy,Atmospheric,Adventure"
Grim Dawn,Crate Entertainment,Crate Entertainment,"Enter an apocalyptic fantasy world where humanity is on the brink of extinction, iron is valued above gold and trust is hard earned. This ARPG features complex character development, hundreds of unique items, crafting and quests with choice & consequence.",$24.99,"Feb 25, 2016","Action RPG,Hack and Slash,Loot,Isometric,Dark Fantasy,RPG,Dungeon Crawler,Singleplayer,Co-op,Character Customization,Dark,Multiplayer,Adventure,Fantasy,Action,Atmospheric,Post-apocalyptic,Crafting,Moddable,Choices Matter"
Snowbreak: Containment Zone,Amazing Seasun Games,Amazing Seasun Games,"The new 3D Waifu Sci-Fi RPG Shooter is here! Aim at fate, fight by our side! Clear the specified stage to claim an Orange-Tier Operative!",$0.00,"Dec 25, 2023","Anime,Third-Person Shooter,$0.00,Shooter,RPG,Action,3D,Hentai,Singleplayer,JRPG,Sci-fi,Co-op,Cute,Online Co-Op,Sexual Content,3D Platformer,Multiplayer,Nudity,Action RPG,Story Rich"
Noita,Nolla Games,Nolla Games,"Noita is a magical action roguelite set in a world where every pixel is physically simulated. Fight, explore, melt, burn, freeze and evaporate your way through the procedurally generated world using spells you've created yourself.",$19.99,"Oct 15, 2020","Physics,Roguelike,Pixel Graphics,Difficult,Dungeon Crawler,Indie,Open World,Sandbox,2D,Perma Death,Action,Action Roguelike,Gun Customization,2D Platformer,Roguelite,RPG,Dark Humor,Mythology,Crafting,Action-Adventure"
Marvel’s Spider-Man: Miles Morales,PlayStation Publishing LLC,Insomniac Games;Nixxes Software,"After the events of Marvel’s Spider-Man Remastered, teenage Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. When a fierce power struggle threatens to destroy his home, Miles must take up the mantle of Spider-Man and own it",$49.99,"Nov 18, 2022","Action,Open World,Superhero,Singleplayer,Adventure,Third Person,Combat,Parkour,Story Rich,Exploration,Action-Adventure,Stealth,Comic Book,Beat 'em up,Multiplayer,Great Soundtrack,Beautiful,RPG,Sci-fi,Mature"
Rogue: Genesia,Ouadi Huard;Gamersky Games,Ouadi Huard,"Walk upon a new world and slay foes endangering it. Rogue : Genesia is an action rogue-lite game, where you fight relentless hordes consisting of hundreds and thousands of monsters, make your build, break the balance, defeat bosses and save one of the many worlds.",$14.99,"Mar 7, 2025","Action Roguelike,Bullet Hell,Roguelite,Twin Stick Shooter,Arcade,Choices Matter,PvE,Action,2.5D,Roguelike,2D,Strategy,Top-Down,3D,Procedural Generation,Controller,RPG,Casual,Pixel Graphics,Fantasy"
Soundpad,Leppsoft,Leppsoft,"Play sounds in voice chats in high digital quality. Add sounds or music to your microphone signal so others will hear it, too.",Soundpad Demo,"Nov 9, 2016","Utilities,Audio Production,Music,Software,NSFW,Mature,Cold War,Dating Sim,Singleplayer,Psychological,Online Co-Op,Dark Humor,Indie,2D"
PlateUp!,Yogscast Games;Gamersky Games,It's happening,"Cook and serve your dishes, design and decorate your restaurants, and expand your culinary kingdom with new unlocks, abilities and dishes in procedurally-generated locations. Classic cooking action with permanent roguelite progression. Hire your friends - or do it all yourself!",$19.99,"Aug 4, 2022","Co-op,Management,Cooking,Roguelite,Building,Local Co-Op,Roguelike,Cute,Procedural Generation,Funny,Base Building,Casual,4 Player Local,Online Co-Op,Controller,Strategy,Action Roguelike,Top-Down,Singleplayer,Action"
LEGO® Star Wars™: The Skywalker Saga,Warner Bros. Games;Warner Bros. Interactive Entertainment,TT Games,"Play through all nine Skywalker saga films in a game unlike any other. With over 300 playable characters, over 100 vehicles, and 23 planets to explore, a galaxy far, far away has never been more fun! *Includes classic Obi-Wan Kenobi playable character",$49.99,"Apr 5, 2022","LEGO,Adventure,Co-op,Multiplayer,Open World,Space,Action,Local Co-Op,Sci-fi,Singleplayer,Funny,Family Friendly,Third Person,Story Rich,Epic,Great Soundtrack,Memes,Beautiful,Puzzle,Souls-like"
ONE PIECE Bounty Rush,Bandai Namco Entertainment Inc.,SEGA,"Take the loot, pirates! Bounty Rush is a 4 vs 4 multiplayer team action game. Work with your team to capture the other teams' berries!",$0.00,"Sep 23, 2024","Action,$0.00,Anime,Multiplayer,3D Fighter,PvP,Online Co-Op,Fighting"
Old World,Hooded Horse,Mohawk Games,"Old World is a revolutionary new historical strategy game where you lead your dynasty over generations of rule against rival kings and queens. Wage massive wars, manage your court, and build a dynasty — or watch your empire crumble to dust. What legacy will you leave behind?",$39.99,"May 19, 2022","Strategy,Simulation,4X,Grand Strategy,Turn-Based Strategy,Historical,War,Multiplayer,Tactical,Sandbox,Management,Turn-Based,Moddable,Co-op,Singleplayer,Replay Value,Economy,Diplomacy,Military,Hex Grid"
Mind Over Magic,Klei Publishing,Sparkypants,"Mind Over Magic is a colony sim set at the site of a cursed magic school. Build and optimize your own magical academy, train powerful Mages, and master mighty relics in order to battle through the Underschool, a mysterious underground dungeon that holds the key to liberation from a deadly curse.",$24.99,"Feb 12, 2025","Survival,Building,Colony Sim,Management,Nonlinear,Simulation,Crafting,Base Building,Dragons,Tactical RPG,Economy,Stylized,Singleplayer,Fantasy,Strategy RPG,Procedural Generation,Choices Matter,Resource Management,Logic,Indie"
Enter the Gungeon,Devolver Digital,Dodge Roll,"Enter the Gungeon is a bullet hell dungeon crawler following a band of misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past.",$14.99,"Apr 5, 2016","Bullet Hell,Action Roguelike,Roguelike,Pixel Graphics,Difficult,Dungeon Crawler,Indie,Local Co-Op,Multiplayer,Twin Stick Shooter,Co-op,Action,2D,Top-Down,Shooter,Singleplayer,Loot,Roguelite,Cute,Funny"
Action Taimanin,Infini-Brain inc.,LiLith,"An intense, gorgeous hack-and-slash action RPG from the Taimanin fame!",$0.00,"Oct 6, 2020","Sexual Content,Nudity,Hentai,Mature,$0.00,NSFW,Female Protagonist,Anime,3D,Action,Hack and Slash,RPG,Singleplayer,Fighting,Action RPG,Adventure,Third Person,Ninja,FPS,Multiplayer"
Total War: ROME II - Emperor Edition,SEGA,CREATIVE ASSEMBLY,"Emperor Edition is the definitive edition of ROME II, featuring an improved politics system, overhauled building chains, rebalanced battles and improved visuals in both campaign and battleEmperor Edition contains all free feature updates since its release in 2013, which includes bug fixes, balancing, Twitch.",$59.99,"Sep 2, 2013","Strategy,Historical,Turn-Based Strategy,Grand Strategy,Rome,Tactical,Multiplayer,War,Real Time Tactics,RTS,Turn-Based,Singleplayer,Online Co-Op,Simulation,Co-op,Turn-Based Tactics,Moddable,Action,Atmospheric,Education"
KARMA: The Dark World,Wired Productions;Gamera Games,POLLARD STUDIO LLC,"KARMA: The Dark World is a first-person cinematic psychological thriller set in a dystopian world where the Leviathan Corporation is omnipresent. The year is 1984, the place is East Germany, and things are not quite what they seem.",$24.99,"Mar 27, 2025","Walking Simulator,First-Person,Psychological Horror,Horror,Atmospheric,Sci-fi,Adventure,Philosophical,Singleplayer,Interactive Fiction,Experimental,Dystopian,Psychedelic,Psychological,Story Rich,Indie,Exploration,Emotional,Cinematic,Realistic"
